Institución,Nombre del establecimiento,Clasificación,Departamento,Provincia,Distrito,Estado,NORTE,ESTE
GOBIERNO REGIONAL,HUIRONAY,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANDAHUAYLAS,PACOBAMBA,ACTIVADO,-73.11921167,-13.58774333
GOBIERNO REGIONAL,SANTA ROSA BAJO TANGUMI,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,MOYOBAMBA,CALZADA,ACTIVADO,-77.14102,-5.96787
GOBIERNO REGIONAL,CHIJICHAYA,CENTROS DE SALUD O CENTROS MEDICOS,PUNO,EL COLLAO,ILAVE,ACTIVADO,-69.68833,-16.16774833
GOBIERNO REGIONAL,CHEJOÑA,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,PUNO,PUNO,ACTIVADO,-70.00088667,-15.863885
SANIDAD DEL EJERCITO DEL PERU,CENTRO DE SALUD MILITAR DE LA ESCUELA DE INTELIGENCIA DEL EJERCITO,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,CHORRILLOS,ACTIVADO,-77.0189409,-12.1601295
MINSA,PUESTO DE SALUD FERNANDO LUYO SIERRA,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA EL SALVADOR,ACTIVADO,-76.9425767,-12.2289028
GOBIERNO REGIONAL,LA VICTORIA SECTOR II - MARIA JESUS,CENTROS DE SALUD O CENTROS MEDICOS,LAMBAYEQUE,CHICLAYO,LA VICTORIA,ACTIVADO,-79.83250767,-6.79466548
GOBIERNO REGIONAL,SALITRAL,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,SULLANA,SALITRAL,ACTIVADO,-80.68317754,-4.85986553
GOBIERNO REGIONAL,CHAUPELANCHE,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.5878,-6.59449
GOBIERNO REGIONAL,P.S MOSSA,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,MORROPON,SANTA CATALINA DE MOSSA,ACTIVADO,-79.85742,-5.08612
GOBIERNO REGIONAL,ROHABOYA,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,UCAYALI,PADRE MARQUEZ,ACTIVADO,-74.92381466,-7.75861331
GOBIERNO REGIONAL,CUELCHO,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,CHILIQUIN,ACTIVADO,-77.75449921,-6.14127159
GOBIERNO REGIONAL,CAJAMARQUILLA,PUESTOS DE SALUD O POSTAS DE SALUD,ANCASH,OCROS,CAJAMARQUILLA,ACTIVADO,-77.19864333,-10.35382
GOBIERNO REGIONAL,AGUA BLANCA,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,QUEROCOTILLO,ACTIVADO,-79.03153649,-6.30669043
GOBIERNO REGIONAL,GRAU KM.40,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,ALTO AMAZONAS,YURIMAGUAS,ACTIVADO,-76.24155,-6.0727
GOBIERNO REGIONAL,MUÑUNO,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,CUTERVO,ACTIVADO,-78.78380464,-6.46771956
GOBIERNO REGIONAL,CONO NORTE,PUESTOS DE SALUD O POSTAS DE SALUD,TACNA,TACNA,CIUDAD NUEVA,ACTIVADO,-70.2334345,-17.9790222
GOBIERNO REGIONAL,AEROPUERTO,PUESTOS DE SALUD O POSTAS DE SALUD,CALLAO,CALLAO,CALLAO,ACTIVADO,-77.09902777,-12.03365706
MINSA,OASIS DE VILLA,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA EL SALVADOR,ACTIVADO,-76.9346408,-12.2107913
PRIVADO,POLICLINICO SAN NORBERTO,CENTROS DE SALUD O CENTROS MEDICOS,UCAYALI,CORONEL PORTILLO,CALLERIA,ACTIVADO,-74.52968456,-8.38594682
GOBIERNO REGIONAL,ACOPIA,PUESTOS DE SALUD O POSTAS DE SALUD,CUSCO,ACOMAYO,ACOPIA,ACTIVADO,-71.49256,-14.05894
GOBIERNO REGIONAL,CABRACANCHA,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.66489,-6.60321
GOBIERNO REGIONAL,DIAMANTE,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,ACTIVADO,-78.90137,-4.92764
GOBIERNO REGIONAL,PUESTO DE SALUD ALTO JESUS,PUESTOS DE SALUD O POSTAS DE SALUD,AREQUIPA,AREQUIPA,PAUCARPATA,ACTIVADO,-71.494422,-16.422676
GOBIERNO REGIONAL,SAN PEDRO DE CHOCOBAMBA,PUESTOS DE SALUD O POSTAS DE SALUD,HUANUCO,MARAÑON,HUACRACHUCO,ACTIVADO,-77.11480833,-8.64325167
PRIVADO,CONSULTORIO ODONTOLOGICO VIVIDENT,CENTRO ODONTOLOGICO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ACTIVADO,-77.87309899,-6.22904731
MINSA,"PUESTO DE SALUD ""SEÑOR DE LOS MILAGROS""",PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA EL SALVADOR,ACTIVADO,-77.0452168,-11.9415104
GOBIERNO REGIONAL,SAN JOSE,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,ACTIVADO,-77.5608,-6.28275
GOBIERNO REGIONAL,HUACHO,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,BELLAVISTA,BELLAVISTA,ACTIVADO,-76.64896667,-6.89911
GOBIERNO REGIONAL,C.S. I-3 9 DE OCTUBRE,CENTROS DE SALUD O CENTROS MEDICOS,LORETO,MAYNAS,BELEN,ACTIVADO,-73.24459961,-3.76457022
GOBIERNO REGIONAL,EL SAUCE-SAPILLICA,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,AYABACA,SAPILLICA,ACTIVADO,-79.987709,-4.81257618
GOBIERNO REGIONAL,CIUDAD DE DIOS,CENTROS DE SALUD O CENTROS MEDICOS,LA LIBERTAD,PACASMAYO,GUADALUPE,ACTIVADO,-79.480815,-7.30426
GOBIERNO REGIONAL,YAVIRO,"PUESTOS DE SALUD O POSTAS DE SALUD,PUESTOS DE SALUD O POSTAS DE SALUD",JUNIN,SATIPO,RIO TAMBO,ACTIVADO,-74.0868377,-12.13046948
GOBIERNO REGIONAL,LISCAY,PUESTOS DE SALUD O POSTAS DE SALUD,ICA,CHINCHA,SAN PEDRO DE HUACARPANA,ACTIVADO,-75.74523667,-13.08553
GOBIERNO REGIONAL,CRUZPATA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,TRITA,ACTIVADO,-78.034555,-6.16132833
PRIVADO,CONSULTORIO ODONTOLOGICO,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,CALLAO,CALLAO,CALLAO,ACTIVADO,-69.26159,-12.56886
GOBIERNO REGIONAL,VILLA BUEN PASTOR,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,MAYNAS,SAN JUAN BAUTISTA,ACTIVADO,-73.39034,-4.05932
GOBIERNO REGIONAL,PISCOBAMBA,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,CHINCHEROS,OCOBAMBA,ACTIVADO,-73.49401205,-13.56094435
MINSA,ENRIQUE MILLA OCHOA,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,LIMA,LOS OLIVOS,ACTIVADO,-77.0822282,-11.9565532
GOBIERNO REGIONAL,HUANUARA,PUESTOS DE SALUD O POSTAS DE SALUD,TACNA,CANDARAVE,HUANUARA,ACTIVADO,-70.32165314,-17.31276436
GOBIERNO REGIONAL,AUCALLAMA,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,HUARAL,AUCALLAMA,ACTIVADO,-77.17582232,-11.56085172
GOBIERNO REGIONAL,QUILLUNYA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,LA JALCA,ACTIVADO,-77.812755,-6.55844333
GOBIERNO REGIONAL,APALIN ALTO,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,ACTIVADO,-78.438952,-7.058471
GOBIERNO REGIONAL,MESARRUME,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CUTERVO,CHOROS,ACTIVADO,-78.76281,-5.94732
GOBIERNO REGIONAL,PALAMBE,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,JAEN,SALLIQUE,ACTIVADO,-79.30543827,-5.59562048
GOBIERNO REGIONAL,OSCCOLLOPAMPA,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANDAHUAYLAS,TALAVERA,ACTIVADO,-73.44644551,-13.67954541
GOBIERNO REGIONAL,HUANCAPAMPA,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,AYMARAES,POCOHUANCA,ACTIVADO,-73.07389,-14.20978167
GOBIERNO REGIONAL,CHIJCHIPANI,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,AZANGARO,SANTIAGO DE PUPUJA,ACTIVADO,-70.24523731,-15.13637907
GOBIERNO REGIONAL,PUTINA,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,PUNO,SAN ANTONIO DE PUTINA,PUTINA,ACTIVADO,-69.8662378,-14.91585773
MINSA,HOSPITAL MARIA AUXILIADORA,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,ACTIVADO,-76.9591024,-12.1605768
GOBIERNO REGIONAL,CUYCA,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,JAEN,COLASAY,ACTIVADO,-78.8632941,-6.0071061
GOBIERNO REGIONAL,LABORATORIO  REGIONAL,CENTROS MEDICOS ESPECIALIZADOS,HUANUCO,HUANUCO,HUANUCO,ACTIVADO,-76.236544,-9.930394
GOBIERNO REGIONAL,SAN ANDRES,CENTROS DE SALUD O CENTROS MEDICOS,ICA,PISCO,SAN ANDRES,ACTIVADO,-76.22088,-13.73132333
GOBIERNO REGIONAL,P.S. DEFENSORES DE LA PATRIA,CENTROS DE SALUD O CENTROS MEDICOS,CALLAO,CALLAO,VENTANILLA,ACTIVADO,-77.13753281,-11.87633106
GOBIERNO REGIONAL,ANGAMOS,PUESTOS DE SALUD O POSTAS DE SALUD,CALLAO,CALLAO,VENTANILLA,ACTIVADO,-77.12773026,-11.89274295
GOBIERNO REGIONAL,PAY PAY,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CONTUMAZA,YONAN,ACTIVADO,-79.2371482,-7.25504872
GOBIERNO REGIONAL,SAN JUAN BAUTISTA,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,ACTIVADO,-74.20882998,-13.17403286
GOBIERNO REGIONAL,NESTOR CACERES,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,LAMPA,CABANILLA,ACTIVADO,-70.36094167,-15.53832833
GOBIERNO REGIONAL,PUQUIS,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,HUANCANE,TARACO,ACTIVADO,-69.90922156,-15.27469789
GOBIERNO REGIONAL,P.S PUEBLO NUEVO,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,MORROPON,BUENOS AIRES,ACTIVADO,-79.99037115,-5.23875191
GOBIERNO REGIONAL,COCAR,PUESTOS DE SALUD O POSTAS DE SALUD,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,ACTIVADO,-76.420295,-10.57929
GOBIERNO REGIONAL,NUEVO ORIENTE,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.60454,-6.58527
GOBIERNO REGIONAL,CONDORMARCA,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,ACTIVADO,-78.23673511,-7.2804941
ESSALUD,HOSPITAL I ALBRECHT,HOSPITALES O CLINICAS DE ATENCION GENERAL,LA LIBERTAD,TRUJILLO,TRUJILLO,ACTIVADO,-79.0349299,-8.1110707
GOBIERNO REGIONAL,VILCANCHOS,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,VICTOR FAJARDO,VILCANCHOS,ACTIVADO,-74.53134911,-13.61217444
GOBIERNO REGIONAL,SUSO,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,HUAMANGA,QUINUA,ACTIVADO,-74.12613447,-13.09043458
GOBIERNO REGIONAL,SAN PEDRO DE LARCAY,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,ACTIVADO,-73.57375333,-14.16563833
GOBIERNO REGIONAL,PICHIGUA ESPINAR,PUESTOS DE SALUD O POSTAS DE SALUD,CUSCO,ESPINAR,PICHIGUA,ACTIVADO,-71.40543559,-14.6772963
GOBIERNO REGIONAL,MALCAS,CENTROS DE SALUD O CENTROS MEDICOS,CAJAMARCA,CAJABAMBA,CONDEBAMBA,ACTIVADO,-78.14233674,-7.51007265
GOBIERNO REGIONAL,SAN ANTONIO DE CUSICANCHA,PUESTOS DE SALUD O POSTAS DE SALUD,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,ACTIVADO,-75.293599,-13.503446
GOBIERNO REGIONAL,SANTA CRUZ DE TOLEDO,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,ACTIVADO,-78.83687594,-7.3452637
GOBIERNO REGIONAL,P.S. LUIS FELIPE DE LAS CASAS,PUESTOS DE SALUD O POSTAS DE SALUD,CALLAO,CALLAO,VENTANILLA,ACTIVADO,-77.13188278,-11.82445218
GOBIERNO REGIONAL,EL TRIUNFO,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,LA JALCA,ACTIVADO,-77.81929236,-6.48263697
GOBIERNO REGIONAL,THUNCO,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,PUNO,ACORA,ACTIVADO,-69.69659,-16.005835
GOBIERNO REGIONAL,PUNA AYLLU,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,SANDIA,PATAMBUCO,ACTIVADO,-69.67920833,-14.378665
GOBIERNO REGIONAL,BLAS,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SULLANA,LANCONES,ACTIVADO,-80.35354673,-4.25639571
MINSA,PUESTO DE SALUD BUENOS AIRES,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,ACTIVADO,-76.9550396,-12.1477625
MINSA,PALERMO,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,LIMA,ACTIVADO,-77.0688186,-12.0410293
GOBIERNO REGIONAL,HOSPITAL REGIONAL DOCENTE CLINICO QUIRURGICO DANIEL ALCIDES CARRION DE HUANCAYO,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,JUNIN,HUANCAYO,HUANCAYO,ACTIVADO,-75.221612,-12.073004
GOBIERNO REGIONAL,SAN CARLOS EL ALTO,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,LLAMA,ACTIVADO,-79.27306,-6.6151
GOBIERNO REGIONAL,BUEN PASTOR,PUESTOS DE SALUD O POSTAS DE SALUD,LA LIBERTAD,TRUJILLO,EL PORVENIR,ACTIVADO,-79.00857685,-8.08651643
GOBIERNO REGIONAL,PUESTO SALUD HUAMANI,PUESTOS DE SALUD O POSTAS DE SALUD,ICA,ICA,SAN JOSE DE LOS MOLINOS,ACTIVADO,-75.60665576,-13.84061465
GOBIERNO REGIONAL,SION,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,ACTIVADO,-76.78613402,-7.66562288
GOBIERNO REGIONAL,MATAHULO,PUESTOS DE SALUD O POSTAS DE SALUD,JUNIN,CONCEPCION,MITO,ACTIVADO,-75.35041408,-11.92265043
GOBIERNO REGIONAL,CENTRO DE SALUD MARISCAL CASTILLA,CENTROS DE SALUD O CENTROS MEDICOS,AREQUIPA,AREQUIPA,CERRO COLORADO,ACTIVADO,-71.5690034,-16.38917198
GOBIERNO REGIONAL,PUEBLO LIBRE,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,ACTIVADO,-78.34920488,-5.91368767
GOBIERNO REGIONAL,EL MOLINO,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ACTIVADO,-77.888695,-6.24781167
GOBIERNO REGIONAL,SAN RAMON,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,YAMON,ACTIVADO,-78.45401573,-5.97628951
GOBIERNO REGIONAL,PION,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,PION,ACTIVADO,-78.481833,-6.178873
GOBIERNO REGIONAL,LAHUAYTAMBO,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,HUAROCHIRI,LAHUAYTAMBO,ACTIVADO,-76.38852378,-12.09688286
GOBIERNO REGIONAL,COROBAMBA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,LUYA,ACTIVADO,-77.97937833,-6.15525833
GOBIERNO REGIONAL,QQUELLO,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,COTABAMBAS,TAMBOBAMBA,ACTIVADO,-72.27601113,-14.00620465
ESSALUD,CARLOS ALBERTO CORTEZ JIMENEZ,HOSPITALES O CLINICAS DE ATENCION GENERAL,TUMBES,TUMBES,TUMBES,ACTIVADO,-80.44293167,-3.55560167
GOBIERNO REGIONAL,LEDOY,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,BELLAVISTA,HUALLAGA,ACTIVADO,-76.64908,-7.13140333
GOBIERNO REGIONAL,P.S. ROCA FUERTE,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,ALTO AMAZONAS,YURIMAGUAS,ACTIVADO,-76.12455078,-6.02832031
GOBIERNO REGIONAL,CUCHOCHACAMARCA,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,HUANCANE,HUANCANE,ACTIVADO,-69.89366,-15.19998
GOBIERNO REGIONAL,CUSHILLOCOCHA,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,ACTIVADO,-70.44961721,-3.94277517
MINSA,TUPAC AMARU,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,ATE,ACTIVADO,-76.90332,-12.03843
PRIVADO,CENTRO MEDICO DEL ROSARIO SRL,CENTROS DE SALUD O CENTROS MEDICOS,UCAYALI,CORONEL PORTILLO,CALLERIA,ACTIVADO,-74.53755384,-8.386781
MINSA,LA ENSENADA,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,LIMA,PUENTE PIEDRA,ACTIVADO,-77.095554,-11.9316287
GOBIERNO REGIONAL,LLUYLLUCUCHA,CENTROS DE SALUD O CENTROS MEDICOS,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,ACTIVADO,-76.98275366,-6.02725543
PRIVADO,CENTRO MEDICO CD-LAB,PATOLOGIA CLINICA,CALLAO,CALLAO,CALLAO,ACTIVADO,-77.0397395,-11.9137202
GOBIERNO REGIONAL,SANTIAGO DE CAO,CENTROS DE SALUD O CENTROS MEDICOS,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,ACTIVADO,-79.2380562,-7.96074937
GOBIERNO REGIONAL,PUESTO DE SALUD HUACHINGA,PUESTOS DE SALUD O POSTAS DE SALUD,ICA,CHINCHA,ALTO LARAN,ACTIVADO,-75.84563833,-13.37417
GOBIERNO REGIONAL,SIVINGAN,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.66495,-6.51673
GOBIERNO REGIONAL,MARAYPAMPA,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,ACTIVADO,-78.901,-6.66008
GOBIERNO REGIONAL,PUESTO DE SALUD BENITO LAZO,PUESTOS DE SALUD O POSTAS DE SALUD,AREQUIPA,AREQUIPA,LA JOYA,ACTIVADO,-71.85719181,-16.42200395
GOBIERNO REGIONAL,PACUCHA,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,APURIMAC,ANDAHUAYLAS,PACUCHA,ACTIVADO,-73.34093778,-13.60911902
GOBIERNO REGIONAL,CALDERA,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,OCUMAL,ACTIVADO,-78.21809173,-6.29650325
GOBIERNO REGIONAL,MATIAZA RIMACHI,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,BONGARA,VALERA,ACTIVADO,-77.92989816,-6.04943033
GOBIERNO REGIONAL,SURUVARA,PUESTOS DE SALUD O POSTAS DE SALUD,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,ACTIVADO,-78.220485,-8.17736167
GOBIERNO REGIONAL,PONGOÑA,PUESTOS DE SALUD O POSTAS DE SALUD,CUSCO,CANAS,YANAOCA,ACTIVADO,-71.49884615,-14.21292144
GOBIERNO REGIONAL,MORAN PATA,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,HUALGAYOC,HUALGAYOC,ACTIVADO,-78.6103854,-6.67484247
GOBIERNO REGIONAL,CURANCO,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANTABAMBA,ANTABAMBA,ACTIVADO,-72.76779986,-14.41836101
GOBIERNO REGIONAL,BOLIVAR,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SAN MIGUEL,BOLIVAR,ACTIVADO,-79.1791,-6.97723
MINSA,TORRES DE MELGAR,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,ACTIVADO,-76.951232,-12.178746
GOBIERNO REGIONAL,PUESTO DE SALUD MACASHCA,PUESTOS DE SALUD O POSTAS DE SALUD,ANCASH,HUARAZ,HUARAZ,ACTIVADO,-77.49673333,-9.56507333
GOBIERNO REGIONAL,JECUAN,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,HUARAL,HUARAL,ACTIVADO,-77.2710119,-11.46965215
GOBIERNO REGIONAL,SOTAPA,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANDAHUAYLAS,HUANCARAMA,ACTIVADO,-73.02353713,-13.68731589
GOBIERNO REGIONAL,CHACOS,PUESTOS DE SALUD O POSTAS DE SALUD,HUANUCO,AMBO,SAN RAFAEL,ACTIVADO,-76.16996664,-10.35885651
GOBIERNO REGIONAL,CAYARA,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,CHINCHEROS,CHINCHEROS,ACTIVADO,-73.72304833,-13.563455
GOBIERNO REGIONAL,SICACATE,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,AYABACA,MONTERO,ACTIVADO,-79.80663922,-4.64617516
GOBIERNO REGIONAL,PORVENIR DE BARRANCA,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,DATEM DEL MARAÑON,BARRANCA,ACTIVADO,-77.23176333,-5.10751333
