Institución,Nombre del establecimiento,UBIGEO,Clasificación,Departamento,Provincia,Distrito,Estado,NORTE,ESTE
GOBIERNO REGIONAL,LABORATORIO  REGIONAL,100101,CENTROS MEDICOS ESPECIALIZADOS,HUANUCO,HUANUCO,HUANUCO,ACTIVADO,-76.236544,-9.930394
GOBIERNO REGIONAL,SAN ANDRES,110506,CENTROS DE SALUD O CENTROS MEDICOS,ICA,PISCO,SAN ANDRES,ACTIVADO,-76.22088,-13.73132333
GOBIERNO REGIONAL,P.S. DEFENSORES DE LA PATRIA,70106,CENTROS DE SALUD O CENTROS MEDICOS,CALLAO,CALLAO,VENTANILLA,ACTIVADO,-77.13753281,-11.87633106
GOBIERNO REGIONAL,ANGAMOS,70106,PUESTOS DE SALUD O POSTAS DE SALUD,CALLAO,CALLAO,VENTANILLA,ACTIVADO,-77.12773026,-11.89274295
GOBIERNO REGIONAL,PAY PAY,60508,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CONTUMAZA,YONAN,ACTIVADO,-79.2371482,-7.25504872
GOBIERNO REGIONAL,SAN JUAN BAUTISTA,50110,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,ACTIVADO,-74.20882998,-13.17403286
GOBIERNO REGIONAL,NESTOR CACERES,210702,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,LAMPA,CABANILLA,ACTIVADO,-70.36094167,-15.53832833
GOBIERNO REGIONAL,PUQUIS,210607,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,HUANCANE,TARACO,ACTIVADO,-69.90922156,-15.27469789
GOBIERNO REGIONAL,P.S PUEBLO NUEVO,200402,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,MORROPON,BUENOS AIRES,ACTIVADO,-79.99037115,-5.23875191
GOBIERNO REGIONAL,COCAR,190208,PUESTOS DE SALUD O POSTAS DE SALUD,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,ACTIVADO,-76.420295,-10.57929
GOBIERNO REGIONAL,NUEVO ORIENTE,60401,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.60454,-6.58527
GOBIERNO REGIONAL,CONDORMARCA,61001,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,ACTIVADO,-78.23673511,-7.2804941
ESSALUD,HOSPITAL I ALBRECHT,130101,HOSPITALES O CLINICAS DE ATENCION GENERAL,LA LIBERTAD,TRUJILLO,TRUJILLO,ACTIVADO,-79.0349299,-8.1110707
GOBIERNO REGIONAL,VILCANCHOS,51012,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,VICTOR FAJARDO,VILCANCHOS,ACTIVADO,-74.53134911,-13.61217444
GOBIERNO REGIONAL,SUSO,50108,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,HUAMANGA,QUINUA,ACTIVADO,-74.12613447,-13.09043458
GOBIERNO REGIONAL,SAN PEDRO DE LARCAY,50908,PUESTOS DE SALUD O POSTAS DE SALUD,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,ACTIVADO,-73.57375333,-14.16563833
GOBIERNO REGIONAL,PICHIGUA ESPINAR,80806,PUESTOS DE SALUD O POSTAS DE SALUD,CUSCO,ESPINAR,PICHIGUA,ACTIVADO,-71.40543559,-14.6772963
GOBIERNO REGIONAL,MALCAS,60203,CENTROS DE SALUD O CENTROS MEDICOS,CAJAMARCA,CAJABAMBA,CONDEBAMBA,ACTIVADO,-78.14233674,-7.51007265
GOBIERNO REGIONAL,SAN ANTONIO DE CUSICANCHA,90610,PUESTOS DE SALUD O POSTAS DE SALUD,HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,ACTIVADO,-75.293599,-13.503446
GOBIERNO REGIONAL,SANTA CRUZ DE TOLEDO,60506,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CONTUMAZA,SANTA CRUZ DE TOLED,ACTIVADO,-78.83687594,-7.3452637
GOBIERNO REGIONAL,P.S. LUIS FELIPE DE LAS CASAS,70106,PUESTOS DE SALUD O POSTAS DE SALUD,CALLAO,CALLAO,VENTANILLA,ACTIVADO,-77.13188278,-11.82445218
GOBIERNO REGIONAL,EL TRIUNFO,10109,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,LA JALCA,ACTIVADO,-77.81929236,-6.48263697
GOBIERNO REGIONAL,THUNCO,210102,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,PUNO,ACORA,ACTIVADO,-69.69659,-16.005835
GOBIERNO REGIONAL,PUNA AYLLU,211204,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,SANDIA,PATAMBUCO,ACTIVADO,-69.67920833,-14.378665
GOBIERNO REGIONAL,BLAS,200604,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,SULLANA,LANCONES,ACTIVADO,-80.35354673,-4.25639571
MINSA,PUESTO DE SALUD BUENOS AIRES,150143,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,ACTIVADO,-76.9550396,-12.1477625
MINSA,PALERMO,150101,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,LIMA,ACTIVADO,-77.0688186,-12.0410293
GOBIERNO REGIONAL,HOSPITAL REGIONAL DOCENTE CLINICO QUIRURGICO DANIEL ALCIDES CARRION DE HUANCAYO,120101,HOSPITALES O CLINICAS DE ATENCION ESPECIALIZADA,JUNIN,HUANCAYO,HUANCAYO,ACTIVADO,-75.221612,-12.073004
GOBIERNO REGIONAL,SAN CARLOS EL ALTO,60411,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,LLAMA,ACTIVADO,-79.27306,-6.6151
GOBIERNO REGIONAL,BUEN PASTOR,130102,PUESTOS DE SALUD O POSTAS DE SALUD,LA LIBERTAD,TRUJILLO,EL PORVENIR,ACTIVADO,-79.00857685,-8.08651643
GOBIERNO REGIONAL,PUESTO SALUD HUAMANI,110109,PUESTOS DE SALUD O POSTAS DE SALUD,ICA,ICA,SAN JOSE DE LOS MOLINOS,ACTIVADO,-75.60665576,-13.84061465
GOBIERNO REGIONAL,SION,220602,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,ACTIVADO,-76.78613402,-7.66562288
GOBIERNO REGIONAL,MATAHULO,120211,PUESTOS DE SALUD O POSTAS DE SALUD,JUNIN,CONCEPCION,MITO,ACTIVADO,-75.35041408,-11.92265043
GOBIERNO REGIONAL,CENTRO DE SALUD MARISCAL CASTILLA,40104,CENTROS DE SALUD O CENTROS MEDICOS,AREQUIPA,AREQUIPA,CERRO COLORADO,ACTIVADO,-71.5690034,-16.38917198
GOBIERNO REGIONAL,PUEBLO LIBRE,10701,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,ACTIVADO,-78.34920488,-5.91368767
GOBIERNO REGIONAL,EL MOLINO,10101,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ACTIVADO,-77.888695,-6.24781167
GOBIERNO REGIONAL,SAN RAMON,10707,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,UTCUBAMBA,YAMON,ACTIVADO,-78.45401573,-5.97628951
GOBIERNO REGIONAL,PION,60414,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,PION,ACTIVADO,-78.481833,-6.178873
GOBIERNO REGIONAL,LAHUAYTAMBO,150710,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,HUAROCHIRI,LAHUAYTAMBO,ACTIVADO,-76.38852378,-12.09688286
GOBIERNO REGIONAL,COROBAMBA,10509,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,LUYA,ACTIVADO,-77.97937833,-6.15525833
GOBIERNO REGIONAL,QQUELLO,30501,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,COTABAMBAS,TAMBOBAMBA,ACTIVADO,-72.27601113,-14.00620465
ESSALUD,CARLOS ALBERTO CORTEZ JIMENEZ,240101,HOSPITALES O CLINICAS DE ATENCION GENERAL,TUMBES,TUMBES,TUMBES,ACTIVADO,-80.44293167,-3.55560167
GOBIERNO REGIONAL,LEDOY,220204,PUESTOS DE SALUD O POSTAS DE SALUD,SAN MARTIN,BELLAVISTA,HUALLAGA,ACTIVADO,-76.64908,-7.13140333
GOBIERNO REGIONAL,P.S. ROCA FUERTE,160201,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,ALTO AMAZONAS,YURIMAGUAS,ACTIVADO,-76.12455078,-6.02832031
GOBIERNO REGIONAL,CUCHOCHACAMARCA,210601,PUESTOS DE SALUD O POSTAS DE SALUD,PUNO,HUANCANE,HUANCANE,ACTIVADO,-69.89366,-15.19998
GOBIERNO REGIONAL,CUSHILLOCOCHA,160401,PUESTOS DE SALUD O POSTAS DE SALUD,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,ACTIVADO,-70.44961721,-3.94277517
MINSA,TUPAC AMARU,150103,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,ATE,ACTIVADO,-76.90332,-12.03843
PRIVADO,CENTRO MEDICO DEL ROSARIO SRL,250101,CENTROS DE SALUD O CENTROS MEDICOS,UCAYALI,CORONEL PORTILLO,CALLERIA,ACTIVADO,-74.53755384,-8.386781
MINSA,LA ENSENADA,150125,CENTROS DE SALUD O CENTROS MEDICOS,LIMA,LIMA,PUENTE PIEDRA,ACTIVADO,-77.095554,-11.9316287
GOBIERNO REGIONAL,LLUYLLUCUCHA,220101,CENTROS DE SALUD O CENTROS MEDICOS,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,ACTIVADO,-76.98275366,-6.02725543
PRIVADO,CENTRO MEDICO CD-LAB,70101,PATOLOGIA CLINICA,CALLAO,CALLAO,CALLAO,ACTIVADO,-77.0397395,-11.9137202
GOBIERNO REGIONAL,SANTIAGO DE CAO,130207,CENTROS DE SALUD O CENTROS MEDICOS,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,ACTIVADO,-79.2380562,-7.96074937
GOBIERNO REGIONAL,PUESTO DE SALUD HUACHINGA,110202,PUESTOS DE SALUD O POSTAS DE SALUD,ICA,CHINCHA,ALTO LARAN,ACTIVADO,-75.84563833,-13.37417
GOBIERNO REGIONAL,SIVINGAN,60401,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,CHOTA,CHOTA,ACTIVADO,-78.66495,-6.51673
GOBIERNO REGIONAL,MARAYPAMPA,61301,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,ACTIVADO,-78.901,-6.66008
GOBIERNO REGIONAL,PUESTO DE SALUD BENITO LAZO,40108,PUESTOS DE SALUD O POSTAS DE SALUD,AREQUIPA,AREQUIPA,LA JOYA,ACTIVADO,-71.85719181,-16.42200395
GOBIERNO REGIONAL,PACUCHA,30209,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,APURIMAC,ANDAHUAYLAS,PACUCHA,ACTIVADO,-73.34093778,-13.60911902
GOBIERNO REGIONAL,CALDERA,10513,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,LUYA,OCUMAL,ACTIVADO,-78.21809173,-6.29650325
GOBIERNO REGIONAL,MATIAZA RIMACHI,10311,PUESTOS DE SALUD O POSTAS DE SALUD,AMAZONAS,BONGARA,VALERA,ACTIVADO,-77.92989816,-6.04943033
GOBIERNO REGIONAL,SURUVARA,131001,PUESTOS DE SALUD O POSTAS DE SALUD,LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,ACTIVADO,-78.220485,-8.17736167
GOBIERNO REGIONAL,PONGOÑA,80501,PUESTOS DE SALUD O POSTAS DE SALUD,CUSCO,CANAS,YANAOCA,ACTIVADO,-71.49884615,-14.21292144
GOBIERNO REGIONAL,MORAN PATA,60703,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,HUALGAYOC,HUALGAYOC,ACTIVADO,-78.6103854,-6.67484247
GOBIERNO REGIONAL,CURANCO,30301,PUESTOS DE SALUD O POSTAS DE SALUD,APURIMAC,ANTABAMBA,ANTABAMBA,ACTIVADO,-72.76779986,-14.41836101
GOBIERNO REGIONAL,BOLIVAR,61102,PUESTOS DE SALUD O POSTAS DE SALUD,CAJAMARCA,SAN MIGUEL,BOLIVAR,ACTIVADO,-79.1791,-6.97723
MINSA,TORRES DE MELGAR,150143,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,ACTIVADO,-76.951232,-12.178746
GOBIERNO REGIONAL,PUESTO DE SALUD MACASHCA,20101,PUESTOS DE SALUD O POSTAS DE SALUD,ANCASH,HUARAZ,HUARAZ,ACTIVADO,-77.49673333,-9.56507333
GOBIERNO REGIONAL,JECUAN,150601,PUESTOS DE SALUD O POSTAS DE SALUD,LIMA,HUARAL,HUARAL,ACTIVADO,-77.2710119,-11.46965215
